model,regime,sharpe,sortino,max_dd,calmar,ann_return,ic,hit_rate,turnover,n
lasso_fwd_return_1d_regime_agnostic__regime_sized,Bear/Crisis,-0.393,-0.1063,-0.0459,-0.1729,-0.0079,-0.017,0.5098,0.0283,1126
lasso_fwd_return_1d_regime_agnostic__regime_sized,Bull,0.2846,0.0,-0.0005,1.055,0.0005,-0.014,0.5062,0.0008,2590
lasso_fwd_return_1d_regime_agnostic__regime_sized,Extreme,-1.0839,-0.5484,-0.1353,-0.3447,-0.0466,0.0736,0.54,0.0505,650
lasso_fwd_return_1d_regime_agnostic__regime_sized,Normal,-0.0933,-0.0217,-0.0323,-0.0506,-0.0016,0.0231,0.496,0.0165,1645
lasso_fwd_return_1d_regime_conditioned__regime_sized,Bear/Crisis,-0.271,-0.16,-0.1439,-0.0937,-0.0135,-0.0016,0.4796,0.0029,1226
lasso_fwd_return_1d_regime_conditioned__regime_sized,Bull,-0.1508,0.0,-0.0036,-0.0529,-0.0002,-0.026,0.5514,0.0,2512
lasso_fwd_return_1d_regime_conditioned__regime_sized,Extreme,-0.537,-0.3629,-0.1481,-0.3002,-0.0445,-0.0579,0.4916,0.0006,651
lasso_fwd_return_1d_regime_conditioned__regime_sized,Normal,0.3491,0.2402,-0.0879,0.192,0.0169,0.0478,0.4994,0.0005,1722
lasso_fwd_return_5d_regime_agnostic__regime_sized,Bear/Crisis,-0.0718,-0.0522,-0.5063,-0.0206,-0.0104,0.0172,0.5151,0.0021,1126
lasso_fwd_return_5d_regime_agnostic__regime_sized,Bull,0.2713,0.1894,-0.4375,0.0643,0.0281,-0.0094,0.5367,0.0015,2586
lasso_fwd_return_5d_regime_agnostic__regime_sized,Extreme,0.3674,0.3607,-0.4728,0.1563,0.0739,0.0138,0.5354,0.0037,650
lasso_fwd_return_5d_regime_agnostic__regime_sized,Normal,0.8122,0.6585,-0.4235,0.2505,0.1061,0.0204,0.5483,0.0019,1645
lasso_fwd_return_5d_regime_conditioned__regime_sized,Bear/Crisis,-0.7439,-0.8271,-0.6758,-0.2144,-0.1449,-0.0454,0.5106,0.0059,1226
