feature,importance_gain,importance_split
sp500_rsi,0.10040673621836049,187
VIX_term_ratio,0.09144306390442125,155
sp500_bb_width,0.08600311543591488,236
XLK_log_return,0.06935268031134001,145
VIX,0.057700165537426074,249
UNRATE_diff,0.0560961996631022,112
VIX_percentile,0.053390507609606175,162
sp500_log_return,0.0395993880520917,129
sp500_realized_vol_21d,0.03848884933904628,102
XLU_log_return,0.03696505435251152,138
DFF_diff,0.03251124465987232,134
CPIAUCSL_diff,0.03230273584262022,108
T10Y2Y_diff,0.029307298435924167,172
T10Y2Y,0.02728163632673386,88
XLV_log_return,0.026930718244557283,201
XLE_log_return,0.025941431921714386,140
sp500_macd,0.024993233007760685,133
XLI_log_return,0.022250403352870762,153
XLB_log_return,0.02215926697407511,140
INDPRO_diff,0.02040338849417367,88
XLP_log_return,0.017588462637568636,109
XLY_log_return,0.017395764215422105,127
sp500_macd_hist,0.01381334182880778,72
sp500_realized_vol_5d,0.009818983648528956,51
sent_weighted,0.008853742313931434,63
XLF_log_return,0.008296981142393633,62
sent_max_neg,0.00675398276962369,35
sent_mean,0.0030995163251645863,9
sent_momentum,0.0007241049097501673,7
