feature,importance_gain,importance_split,regime
VIX,0.023652748650405453,81,Bear/Crisis
XLE_log_return,0.0195301569783366,99,Bear/Crisis
sp500_realized_vol_21d,0.014786728448637376,81,Bear/Crisis
XLK_log_return,0.014333975777674368,75,Bear/Crisis
sp500_rsi,0.013518163156135188,61,Bear/Crisis
T10Y2Y_diff,0.01312239779290536,63,Bear/Crisis
CPIAUCSL_diff,0.012575167362911088,65,Bear/Crisis
VIX_term_ratio,0.01248219652188709,53,Bear/Crisis
XLB_log_return,0.010413727323509647,43,Bear/Crisis
XLY_log_return,0.010324897086746887,57,Bear/Crisis
DFF_diff,0.010319908140445477,42,Bear/Crisis
XLV_log_return,0.010061151929448897,56,Bear/Crisis
XLU_log_return,0.00992133854404642,46,Bear/Crisis
XLP_log_return,0.009719667106764973,59,Bear/Crisis
sp500_log_return,0.009683596574056708,43,Bear/Crisis
VIX_percentile,0.009040078697580611,45,Bear/Crisis
XLF_log_return,0.00867183675063643,37,Bear/Crisis
sp500_bb_width,0.008429829600572702,35,Bear/Crisis
sp500_macd_hist,0.007863805452473116,71,Bear/Crisis
sp500_realized_vol_5d,0.007084677217960689,37,Bear/Crisis
INDPRO_diff,0.007033721351604072,40,Bear/Crisis
sp500_macd,0.005460440034033454,34,Bear/Crisis
T10Y2Y,0.004981293550827104,24,Bear/Crisis
XLI_log_return,0.0017848836922098599,12,Bear/Crisis
sent_momentum,0.0016150470182765275,6,Bear/Crisis
sent_weighted,0.0008703190105734393,3,Bear/Crisis
sent_mean,0.0005156910046935081,1,Bear/Crisis
UNRATE_diff,0.0004910890129394829,1,Bear/Crisis
sent_max_neg,0.00010714500240283087,1,Bear/Crisis
XLB_log_return,0.1455244997923728,342,Bull
VIX,0.1252131311048288,327,Bull
sp500_rsi,0.09072890515381005,273,Bull
VIX_term_ratio,0.08523315233469475,197,Bull
sp500_bb_width,0.08426054785377346,228,Bull
XLU_log_return,0.08125381825084332,230,Bull
VIX_percentile,0.06835972706903704,189,Bull
XLP_log_return,0.06057671896996908,153,Bull
sp500_realized_vol_5d,0.0576151590939844,168,Bull
XLI_log_return,0.05506040217005648,144,Bull
T10Y2Y_diff,0.052653394974186085,181,Bull
sp500_macd,0.052146074958727695,130,Bull
XLV_log_return,0.05092557084572036,151,Bull
sp500_log_return,0.04617976908048149,118,Bull
INDPRO_diff,0.043928122860961594,105,Bull
XLE_log_return,0.04113377394969575,119,Bull
T10Y2Y,0.040842752961907536,117,Bull
XLF_log_return,0.040590331991552375,118,Bull
sp500_macd_hist,0.03708434302825481,114,Bull
XLK_log_return,0.036955236151698045,101,Bull
sp500_realized_vol_21d,0.03653037315234542,116,Bull
XLY_log_return,0.028829562885221094,82,Bull
DFF_diff,0.02537418299471028,80,Bull
CPIAUCSL_diff,0.0248198500048602,73,Bull
sent_weighted,0.00993774103699252,33,Bull
sent_max_neg,0.008941912034060806,29,Bull
UNRATE_diff,0.007340563999605365,21,Bull
sent_mean,0.006825069009209983,22,Bull
sent_momentum,0.005820090940687805,18,Bull
sp500_log_return,0.0,0,Extreme
sp500_realized_vol_5d,0.0,0,Extreme
sp500_realized_vol_21d,0.0,0,Extreme
sp500_rsi,0.0,0,Extreme
sp500_macd,0.0,0,Extreme
sp500_macd_hist,0.0,0,Extreme
sp500_bb_width,0.0,0,Extreme
XLK_log_return,0.0,0,Extreme
XLF_log_return,0.0,0,Extreme
XLE_log_return,0.0,0,Extreme
XLV_log_return,0.0,0,Extreme
XLY_log_return,0.0,0,Extreme
XLP_log_return,0.0,0,Extreme
XLI_log_return,0.0,0,Extreme
XLB_log_return,0.0,0,Extreme
XLU_log_return,0.0,0,Extreme
CPIAUCSL_diff,0.0,0,Extreme
UNRATE_diff,0.0,0,Extreme
DFF_diff,0.0,0,Extreme
INDPRO_diff,0.0,0,Extreme
T10Y2Y_diff,0.0,0,Extreme
T10Y2Y,0.0,0,Extreme
VIX,0.0,0,Extreme
VIX_percentile,0.0,0,Extreme
VIX_term_ratio,0.0,0,Extreme
sent_mean,0.0,0,Extreme
sent_max_neg,0.0,0,Extreme
sent_weighted,0.0,0,Extreme
sent_momentum,0.0,0,Extreme
sp500_log_return,0.0,0,Normal
sp500_realized_vol_5d,0.0,0,Normal
sp500_realized_vol_21d,0.0,0,Normal
sp500_rsi,0.0,0,Normal
sp500_macd,0.0,0,Normal
sp500_macd_hist,0.0,0,Normal
sp500_bb_width,0.0,0,Normal
XLK_log_return,0.0,0,Normal
XLF_log_return,0.0,0,Normal
XLE_log_return,0.0,0,Normal
XLV_log_return,0.0,0,Normal
XLY_log_return,0.0,0,Normal
XLP_log_return,0.0,0,Normal
XLI_log_return,0.0,0,Normal
XLB_log_return,0.0,0,Normal
XLU_log_return,0.0,0,Normal
CPIAUCSL_diff,0.0,0,Normal
UNRATE_diff,0.0,0,Normal
DFF_diff,0.0,0,Normal
INDPRO_diff,0.0,0,Normal
T10Y2Y_diff,0.0,0,Normal
T10Y2Y,0.0,0,Normal
VIX,0.0,0,Normal
VIX_percentile,0.0,0,Normal
VIX_term_ratio,0.0,0,Normal
sent_mean,0.0,0,Normal
sent_max_neg,0.0,0,Normal
sent_weighted,0.0,0,Normal
sent_momentum,0.0,0,Normal
