fold,train_end,test_start,test_end,n_train_seq,n_test_seq,best_val_loss
0,2003-01-07,2003-01-08,2003-07-09,727,126,0.0003182200453011319
1,2003-07-09,2003-07-10,2004-01-07,853,126,0.00017540208500577137
2,2004-01-07,2004-01-08,2004-07-09,979,126,5.3196829564209715e-05
3,2004-07-09,2004-07-12,2005-01-06,1105,126,5.547034500826461e-05
4,2005-01-06,2005-01-07,2005-07-08,1231,126,5.393482691336734e-05
5,2005-07-08,2005-07-11,2006-01-06,1357,126,4.698578322859248e-05
6,2006-01-06,2006-01-09,2006-07-10,1483,126,4.381781354823033e-05
7,2006-07-10,2006-07-11,2007-01-09,1609,126,4.757242732011946e-05
8,2007-01-09,2007-01-10,2007-07-11,1735,126,3.546754815033637e-05
9,2007-07-11,2007-07-12,2008-01-09,1861,126,4.9352578935213386e-05
10,2008-01-09,2008-01-10,2008-07-10,1987,126,0.00010331317753298208
11,2008-07-10,2008-07-11,2009-01-08,2113,126,0.00014051433245185763
12,2009-01-08,2009-01-09,2009-07-10,2239,126,0.0005278054256147394
13,2009-07-10,2009-07-13,2010-01-08,2365,126,0.0006072002991762323
14,2010-01-08,2010-01-11,2010-07-12,2491,126,0.0006314664242381696
15,2010-07-12,2010-07-13,2011-01-07,2617,126,0.00023709161385860561
16,2011-01-07,2011-01-10,2011-07-11,2743,126,0.0001176583794274068
17,2011-07-11,2011-07-12,2012-01-09,2869,126,0.00011641395602574838
18,2012-01-09,2012-01-10,2012-07-10,2995,126,0.00016836508075357415
19,2012-07-10,2012-07-11,2013-01-10,3121,126,0.00014315180715129827
20,2013-01-10,2013-01-11,2013-07-12,3247,126,0.0001378385068164789
21,2013-07-12,2013-07-15,2014-01-10,3373,126,0.00014246411046769936
22,2014-01-10,2014-01-13,2014-07-14,3499,126,6.347756304118472e-05
23,2014-07-14,2014-07-15,2015-01-12,3625,126,6.025036277100703e-05
24,2015-01-12,2015-01-13,2015-07-14,3751,126,5.43698770343326e-05
25,2015-07-14,2015-07-15,2016-01-12,3877,126,5.3035136079415676e-05
26,2016-01-12,2016-01-13,2016-07-13,4003,126,7.803408661857247e-05
27,2016-07-13,2016-07-14,2017-01-11,4129,126,7.94755664173863e-05
28,2017-01-11,2017-01-12,2017-07-13,4255,126,7.656084926566109e-05
29,2017-07-13,2017-07-14,2018-01-11,4381,126,6.769294122932479e-05
30,2018-01-11,2018-01-12,2018-07-13,4507,126,5.769523621975995e-05
31,2018-07-13,2018-07-16,2019-01-14,4633,126,5.824019486185121e-05
32,2019-01-14,2019-01-15,2019-07-16,4759,126,7.462091222502447e-05
33,2019-07-16,2019-07-17,2020-01-14,4885,126,6.106443947828666e-05
34,2020-01-14,2020-01-15,2020-07-15,5011,126,6.646169777013711e-05
35,2020-07-15,2020-07-16,2021-01-13,5137,126,0.0001923305135278497
36,2021-01-13,2021-01-14,2021-07-15,5263,126,0.00019514603123892672
37,2021-07-15,2021-07-16,2022-01-12,5389,126,0.00019858612862523072
38,2022-01-12,2022-01-13,2022-07-15,5515,126,0.0002066701403796637
39,2022-07-15,2022-07-18,2023-01-13,5641,126,0.00020926705396310093
40,2023-01-13,2023-01-17,2023-07-18,5767,126,0.00022245787399047652
41,2023-07-18,2023-07-19,2024-01-17,5893,126,0.00023076381980250256
42,2024-01-17,2024-01-18,2024-07-18,6019,126,0.00011547210985251392
43,2024-07-18,2024-07-19,2025-01-17,6145,126,0.00010623962128496108
44,2025-01-17,2025-01-21,2025-07-22,6271,126,0.00011086173423488313
45,2025-07-22,2025-07-23,2025-12-29,6397,111,0.0001310500107744398
