fold,train_end,test_start,test_end,n_train_seq,n_test_seq,best_val_loss
0,2003-01-07,2003-01-08,2003-07-09,727,126,0.0010016286687459797
1,2003-07-09,2003-07-10,2004-01-07,853,126,0.0006537712324643508
2,2004-01-07,2004-01-08,2004-07-09,979,126,0.00021802437549922615
3,2004-07-09,2004-07-12,2005-01-06,1105,126,0.00027639229665510356
4,2005-01-06,2005-01-07,2005-07-08,1231,126,0.00027836346028683084
5,2005-07-08,2005-07-11,2006-01-06,1357,126,0.00025189736334141344
6,2006-01-06,2006-01-09,2006-07-10,1483,126,0.00021415677474578843
7,2006-07-10,2006-07-11,2007-01-09,1609,126,0.00022594544316234533
8,2007-01-09,2007-01-10,2007-07-11,1735,126,0.00015618586621712893
9,2007-07-11,2007-07-12,2008-01-09,1861,126,0.00018012508226092905
10,2008-01-09,2008-01-10,2008-07-10,1987,126,0.0003848122840281576
11,2008-07-10,2008-07-11,2009-01-08,2113,126,0.0005335671303328127
12,2009-01-08,2009-01-09,2009-07-10,2239,126,0.00254294989281334
13,2009-07-10,2009-07-13,2010-01-08,2365,126,0.0021333378196383515
14,2010-01-08,2010-01-11,2010-07-12,2491,126,0.0022891938278917223
15,2010-07-12,2010-07-13,2011-01-07,2617,126,0.0011515488939559354
16,2011-01-07,2011-01-10,2011-07-11,2743,126,0.000536036623608587
17,2011-07-11,2011-07-12,2012-01-09,2869,126,0.0005145275936229154
18,2012-01-09,2012-01-10,2012-07-10,2995,126,0.0007280471254489385
19,2012-07-10,2012-07-11,2013-01-10,3121,126,0.0006241406626941171
20,2013-01-10,2013-01-11,2013-07-12,3247,126,0.0006603897527384106
21,2013-07-12,2013-07-15,2014-01-10,3373,126,0.0005867861091246596
22,2014-01-10,2014-01-13,2014-07-14,3499,126,0.0002603162008906818
23,2014-07-14,2014-07-15,2015-01-12,3625,126,0.0002688182826710141
24,2015-01-12,2015-01-13,2015-07-14,3751,126,0.00027114453486218635
25,2015-07-14,2015-07-15,2016-01-12,3877,126,0.00029376330276136285
26,2016-01-12,2016-01-13,2016-07-13,4003,126,0.00041641276911832394
27,2016-07-13,2016-07-14,2017-01-11,4129,126,0.0003631110143032856
28,2017-01-11,2017-01-12,2017-07-13,4255,126,0.0003581682154617738
29,2017-07-13,2017-07-14,2018-01-11,4381,126,0.0003230953701528382
30,2018-01-11,2018-01-12,2018-07-13,4507,126,0.00027526701061023317
31,2018-07-13,2018-07-16,2019-01-14,4633,126,0.0002845832786988467
32,2019-01-14,2019-01-15,2019-07-16,4759,126,0.00036558536521624774
33,2019-07-16,2019-07-17,2020-01-14,4885,126,0.00028924873428574455
34,2020-01-14,2020-01-15,2020-07-15,5011,126,0.00030453914496320067
35,2020-07-15,2020-07-16,2021-01-13,5137,126,0.0006577728779050701
36,2021-01-13,2021-01-14,2021-07-15,5263,126,0.0008218912083136204
37,2021-07-15,2021-07-16,2022-01-12,5389,126,0.0007632032065885141
38,2022-01-12,2022-01-13,2022-07-15,5515,126,0.0007836561842570797
39,2022-07-15,2022-07-18,2023-01-13,5641,126,0.0008603729449012982
40,2023-01-13,2023-01-17,2023-07-18,5767,126,0.0008796229927351565
41,2023-07-18,2023-07-19,2024-01-17,5893,126,0.0008350444654102571
42,2024-01-17,2024-01-18,2024-07-18,6019,126,0.0005694320958961422
43,2024-07-18,2024-07-19,2025-01-17,6145,126,0.0005310747442611803
44,2025-01-17,2025-01-21,2025-07-22,6271,126,0.000550010380296347
45,2025-07-22,2025-07-23,2025-12-22,6397,107,0.0006392741963888208
