fold,train_end,test_start,test_end,n_train_seq,n_test_seq,best_val_loss
0,2003-01-07,2003-01-08,2003-07-09,727,126,0.00035717443824978545
1,2003-07-09,2003-07-10,2004-01-07,853,126,0.00019315478130010888
2,2004-01-07,2004-01-08,2004-07-09,979,126,6.652696053303468e-05
3,2004-07-09,2004-07-12,2005-01-06,1105,126,4.8950338774981596e-05
4,2005-01-06,2005-01-07,2005-07-08,1231,126,8.702227690567572e-05
5,2005-07-08,2005-07-11,2006-01-06,1357,126,5.961629904049914e-05
6,2006-01-06,2006-01-09,2006-07-10,1483,126,4.890980744676199e-05
7,2006-07-10,2006-07-11,2007-01-09,1609,126,6.351798947434872e-05
8,2007-01-09,2007-01-10,2007-07-11,1735,126,3.575776318029966e-05
9,2007-07-11,2007-07-12,2008-01-09,1861,126,5.208563452470116e-05
10,2008-01-09,2008-01-10,2008-07-10,1987,126,0.00010233311622869224
11,2008-07-10,2008-07-11,2009-01-08,2113,126,0.0001479531652876176
12,2009-01-08,2009-01-09,2009-07-10,2239,126,0.0005375694793959459
13,2009-07-10,2009-07-13,2010-01-08,2365,126,0.0005950509706356873
14,2010-01-08,2010-01-11,2010-07-12,2491,126,0.000585901617644898
15,2010-07-12,2010-07-13,2011-01-07,2617,126,0.00023749611552505354
16,2011-01-07,2011-01-10,2011-07-11,2743,126,0.00012297736299972582
17,2011-07-11,2011-07-12,2012-01-09,2869,126,0.00010562546646854441
18,2012-01-09,2012-01-10,2012-07-10,2995,126,0.00017070368721761042
19,2012-07-10,2012-07-11,2013-01-10,3121,126,0.0008680657947479631
20,2013-01-10,2013-01-11,2013-07-12,3247,126,0.000140964972160873
21,2013-07-12,2013-07-15,2014-01-10,3373,126,0.0004405180161484168
22,2014-01-10,2014-01-13,2014-07-14,3499,126,0.0023069920813820013
23,2014-07-14,2014-07-15,2015-01-12,3625,126,6.58328606530429e-05
24,2015-01-12,2015-01-13,2015-07-14,3751,126,5.492068642827993e-05
25,2015-07-14,2015-07-15,2016-01-12,3877,126,5.376218687160872e-05
26,2016-01-12,2016-01-13,2016-07-13,4003,126,8.417860517511145e-05
27,2016-07-13,2016-07-14,2017-01-11,4129,126,8.004556293599308e-05
28,2017-01-11,2017-01-12,2017-07-13,4255,126,7.713371160207316e-05
29,2017-07-13,2017-07-14,2018-01-11,4381,126,6.647330635380719e-05
30,2018-01-11,2018-01-12,2018-07-13,4507,126,5.798952869637023e-05
31,2018-07-13,2018-07-16,2019-01-14,4633,126,6.1012084684493445e-05
32,2019-01-14,2019-01-15,2019-07-16,4759,126,7.630529959593939e-05
33,2019-07-16,2019-07-17,2020-01-14,4885,126,6.3036867838188e-05
34,2020-01-14,2020-01-15,2020-07-15,5011,126,6.57632558613841e-05
35,2020-07-15,2020-07-16,2021-01-13,5137,126,0.00018798208363407937
36,2021-01-13,2021-01-14,2021-07-15,5263,126,0.00020076207678917295
37,2021-07-15,2021-07-16,2022-01-12,5389,126,0.00019689543982027457
38,2022-01-12,2022-01-13,2022-07-15,5515,126,0.0002020381515859089
39,2022-07-15,2022-07-18,2023-01-13,5641,126,0.00020940889953635633
40,2023-01-13,2023-01-17,2023-07-18,5767,126,0.00023587055537583574
41,2023-07-18,2023-07-19,2024-01-17,5893,126,0.0002305694805337615
42,2024-01-17,2024-01-18,2024-07-18,6019,126,0.00011450481676244332
43,2024-07-18,2024-07-19,2025-01-17,6145,126,0.0001073949994558158
44,2025-01-17,2025-01-21,2025-07-22,6271,126,0.0005760109313996508
45,2025-07-22,2025-07-23,2025-12-29,6397,111,0.00013277019267358506
