epoch,train_loss,val_loss,fold,train_end
1,0.02368434788659215,0.007934248773381114,0,2003-01-07
2,0.006634992477484047,0.002667163615114987,0,2003-01-07
3,0.0038660599384456873,0.001973400649148971,0,2003-01-07
4,0.0029252713546156885,0.0010062727960757911,0,2003-01-07
5,0.0021935303928330542,0.0006810193881392479,0,2003-01-07
6,0.00207954382058233,0.000680564611684531,0,2003-01-07
7,0.0015517955063842237,0.0006625170062761754,0,2003-01-07
8,0.0015539750223979355,0.0005547682230826467,0,2003-01-07
9,0.0012013094266876579,0.0005173544195713475,0,2003-01-07
10,0.0013127241167239846,0.00046158824989106506,0,2003-01-07
11,0.0011174805229529738,0.0004704554594354704,0,2003-01-07
12,0.0010177653515711428,0.0004623767308657989,0,2003-01-07
13,0.0008741843979805708,0.000443251192336902,0,2003-01-07
14,0.0009433905477635562,0.00042776599002536386,0,2003-01-07
15,0.0006849661702290177,0.000419047886680346,0,2003-01-07
16,0.0006717150215990841,0.0004230677950545214,0,2003-01-07
17,0.0006768469407688827,0.0004393639974296093,0,2003-01-07
18,0.0005699986882973463,0.00042682593630161136,0,2003-01-07
19,0.0005451340926811099,0.0003726499344338663,0,2003-01-07
20,0.0005081586830783635,0.0003823295992333442,0,2003-01-07
21,0.00043332180939614773,0.00037599547067657113,0,2003-01-07
22,0.0004590482247294858,0.00035282457974972203,0,2003-01-07
23,0.00041273955430369823,0.00035191577626392245,0,2003-01-07
24,0.0004026003007311374,0.00034551251883385703,0,2003-01-07
25,0.00035871269938070327,0.0003481250023469329,0,2003-01-07
1,0.019060549908317626,0.0033392945770174265,1,2003-07-09
2,0.004069857124704868,0.000684986007399857,1,2003-07-09
3,0.0021890661640403173,0.0005388237768784165,1,2003-07-09
4,0.0016778601663342367,0.0003637010377133265,1,2003-07-09
5,0.0015333251697787393,0.00029909198929090053,1,2003-07-09
6,0.0014923228203163792,0.00041231923387385905,1,2003-07-09
7,0.0012549303598158683,0.00032021293009165674,1,2003-07-09
8,0.0009987797578408693,0.0002786321274470538,1,2003-07-09
9,0.0009856353232559438,0.0002015879435930401,1,2003-07-09
10,0.0008307185635203496,0.0002774098684312776,1,2003-07-09
11,0.0007101085381388353,0.00019139594223815948,1,2003-07-09
12,0.0006829887909892326,0.00023026169947115704,1,2003-07-09
13,0.0006243861498660408,0.00020424550893949345,1,2003-07-09
14,0.0005063960464516034,0.0002111948124365881,1,2003-07-09
15,0.0004314910911489278,0.00021064425527583808,1,2003-07-09
1,0.017281515463504808,0.0018693408152709405,2,2004-01-07
2,0.0044474840563322815,0.00045782679808326066,2,2004-01-07
3,0.003154911021868299,0.0006764410063624382,2,2004-01-07
4,0.002407788481962468,0.0002740884156082757,2,2004-01-07
5,0.0022308707453443538,0.0005657204504435261,2,2004-01-07
6,0.0017169807667544643,0.00013681311732701337,2,2004-01-07
7,0.0013670038289481973,0.00016078551804336408,2,2004-01-07
8,0.0012736507716389106,9.132337193780889e-05,2,2004-01-07
9,0.001167351024508077,0.00017642348151033124,2,2004-01-07
10,0.0009875248485643948,0.00010576536442385986,2,2004-01-07
11,0.0008933380928023585,9.83641099689218e-05,2,2004-01-07
12,0.0008634171432017215,8.978498105231363e-05,2,2004-01-07
13,0.0006428856514893207,6.595861850655638e-05,2,2004-01-07
14,0.0006557072358970929,7.116819203171569e-05,2,2004-01-07
15,0.0005429167015660953,9.447096939159867e-05,2,2004-01-07
16,0.0004674155414769692,6.151707081395823e-05,2,2004-01-07
17,0.0004242734062185021,8.3056900621159e-05,2,2004-01-07
18,0.00040616561974664886,6.279567727081788e-05,2,2004-01-07
19,0.00037350346454851594,0.00015723121274883548,2,2004-01-07
20,0.000430735491266075,6.686339838779531e-05,2,2004-01-07
1,0.013775043468922377,0.0008652945204327503,3,2004-07-09
2,0.003860973349461953,0.0005054024319785336,3,2004-07-09
3,0.002142076970388492,0.0004381905261349554,3,2004-07-09
4,0.0014954783643285434,9.530088088164727e-05,3,2004-07-09
5,0.0013078271178528667,8.435946195580375e-05,3,2004-07-09
6,0.0009734152777430912,0.00014769373471305394,3,2004-07-09
7,0.0008798085036687553,0.00010101813192401703,3,2004-07-09
8,0.0007495087125183393,7.63859255433393e-05,3,2004-07-09
9,0.0007265777792781591,7.045593035096924e-05,3,2004-07-09
10,0.0006224241922609508,8.671223379982014e-05,3,2004-07-09
11,0.0006023013052375366,8.03135796256053e-05,3,2004-07-09
12,0.0005273137823678554,6.4293260948034e-05,3,2004-07-09
13,0.000495775043964386,7.925219688331708e-05,3,2004-07-09
14,0.0004688895617922147,7.698341748133923e-05,3,2004-07-09
15,0.0004348374049489697,7.003513625628936e-05,3,2004-07-09
16,0.0003736368613317609,6.521826192814235e-05,3,2004-07-09
1,0.02159401825081338,0.003557636480157574,4,2005-01-06
2,0.004177445217090494,0.0003651255537988618,4,2005-01-06
3,0.0026115100241868813,0.0002852646284736693,4,2005-01-06
4,0.001923967125442098,0.00023361337177144984,4,2005-01-06
5,0.0017218099948128358,0.00018031130214997879,4,2005-01-06
6,0.0014690731117940124,0.00014533104937678823,4,2005-01-06
7,0.0011498229372698594,0.00014010007726028562,4,2005-01-06
8,0.0010223398087820148,0.00011667445020672555,4,2005-01-06
9,0.0009281957480946884,0.00010310284657559048,4,2005-01-06
10,0.0007673833957489799,0.00010393377063640703,4,2005-01-06
11,0.0006960693281143904,0.00011422630389764284,4,2005-01-06
12,0.0005602579947341891,0.00011199217745646213,4,2005-01-06
13,0.0005370330181904137,8.1201208862088e-05,4,2005-01-06
14,0.0005175485258565887,7.769268389286783e-05,4,2005-01-06
15,0.0004516492481343448,0.00012549967505037785,4,2005-01-06
16,0.0004489026734304121,6.461363106306332e-05,4,2005-01-06
17,0.0003844682385747814,6.291600220720284e-05,4,2005-01-06
18,0.00037644198164343834,6.258703433559276e-05,4,2005-01-06
19,0.0003835752029451268,7.547517937685673e-05,4,2005-01-06
20,0.0003210191258831936,7.125489112998669e-05,4,2005-01-06
21,0.00029909198586692046,8.296640347301339e-05,4,2005-01-06
22,0.0003150751701254836,7.327801601301569e-05,4,2005-01-06
1,0.011490225779676908,0.0008894794300431386,5,2005-07-08
2,0.0026844608150177487,0.0003059192458749749,5,2005-07-08
3,0.0016754393612867908,0.0001918764246511273,5,2005-07-08
4,0.0013030122744997865,0.0001525082752777962,5,2005-07-08
5,0.0010352504384507867,0.00010459250734129455,5,2005-07-08
6,0.0008552605837681576,0.00021434781956486404,5,2005-07-08
7,0.0007087963627112147,0.00016582172611379065,5,2005-07-08
8,0.0005474189988729593,9.552535811963025e-05,5,2005-07-08
9,0.0004606636434082726,7.062460645101964e-05,5,2005-07-08
10,0.00040086464172131136,6.165004106151173e-05,5,2005-07-08
11,0.000371348599927794,7.105531494744355e-05,5,2005-07-08
12,0.0003035864444284112,6.13619286014e-05,5,2005-07-08
13,0.0002963938306110274,5.848275304742856e-05,5,2005-07-08
14,0.000314107425143256,5.438991865958087e-05,5,2005-07-08
15,0.00024104049608515772,6.324292917270213e-05,5,2005-07-08
16,0.00021872631891471284,6.49033072477323e-05,5,2005-07-08
17,0.00021917668881973155,5.050186337030027e-05,5,2005-07-08
18,0.00020029761224960615,6.782726632081904e-05,5,2005-07-08
19,0.00019804089357708827,5.3703154662798624e-05,5,2005-07-08
20,0.00017319794565800724,5.2933208280592225e-05,5,2005-07-08
21,0.00019393723471837707,6.128091808932368e-05,5,2005-07-08
1,0.02528039851458743,0.0009807792084757239,6,2006-01-06
2,0.0035634912783280015,0.0005670826249115635,6,2006-01-06
3,0.002332074736477807,0.00015284051914932206,6,2006-01-06
4,0.00196835792157799,0.00018464612003299408,6,2006-01-06
5,0.0016242872225120664,7.16641061444534e-05,6,2006-01-06
6,0.0015366674459073692,6.815624510636553e-05,6,2006-01-06
7,0.0012162664235802368,7.597216063004453e-05,6,2006-01-06
8,0.0011181860172655433,7.765343798382673e-05,6,2006-01-06
9,0.000988211840740405,5.719233104173327e-05,6,2006-01-06
10,0.0009146397234871984,6.349261184368515e-05,6,2006-01-06
11,0.000771307514514774,5.501340456248727e-05,6,2006-01-06
12,0.0007028412990621291,6.20334831182845e-05,6,2006-01-06
13,0.0006271451566135511,8.93132728378987e-05,6,2006-01-06
14,0.0005672868559486232,4.979064306098735e-05,6,2006-01-06
15,0.0005606567094218918,6.022125808158307e-05,6,2006-01-06
16,0.0005031897788285277,5.0529659347375855e-05,6,2006-01-06
17,0.0004614501136529725,6.162702084111515e-05,6,2006-01-06
18,0.0004270656834705733,4.871722012467217e-05,6,2006-01-06
19,0.00038420613709604367,4.73672025691485e-05,6,2006-01-06
20,0.00036908190595568157,4.568202666632715e-05,6,2006-01-06
21,0.00034327432294958273,4.5110851715435274e-05,6,2006-01-06
22,0.00035125629947287964,4.376337165012956e-05,6,2006-01-06
23,0.00031129345297813414,4.09302269872569e-05,6,2006-01-06
24,0.00028221653919899834,5.016992599848891e-05,6,2006-01-06
25,0.0002868533934815787,4.5240438794280635e-05,6,2006-01-06
1,0.01346833969000727,0.0010196160874329507,7,2006-07-10
2,0.0024783560180697928,0.00032690175612515304,7,2006-07-10
3,0.0018953017848120494,0.00018764026026474312,7,2006-07-10
4,0.0014968653770417652,0.00014379014464793727,7,2006-07-10
5,0.0011262182590805671,0.00010522891898290254,7,2006-07-10
6,0.0008396734589372169,8.561783397453837e-05,7,2006-07-10
7,0.0006502316642912443,6.840511014161166e-05,7,2006-07-10
8,0.0005314384642670947,6.429129098250996e-05,7,2006-07-10
9,0.00043789379494476384,6.297183517744998e-05,7,2006-07-10
10,0.0003498527538877997,5.973827956040623e-05,7,2006-07-10
11,0.00029222942050017247,7.514299613831099e-05,7,2006-07-10
12,0.0002437454052348833,5.450869684864301e-05,7,2006-07-10
13,0.00022222287093014032,6.543383551615989e-05,7,2006-07-10
14,0.00021042681592834097,5.9944454733340535e-05,7,2006-07-10
15,0.00019585491430585864,7.129359528335044e-05,7,2006-07-10
16,0.000202393274362707,6.54941177344881e-05,7,2006-07-10
1,0.015083302248967811,0.001578020676970482,8,2007-01-09
2,0.0029123132893194756,0.00022292076901067048,8,2007-01-09
3,0.0020193522820288004,0.00018244754755869508,8,2007-01-09
4,0.0014653566540800966,0.00015905097825452685,8,2007-01-09
5,0.0012387844011148748,0.0001240312762092799,8,2007-01-09
6,0.0010211577282461803,9.500465021119452e-05,8,2007-01-09
7,0.0008168115018634126,0.00010162675607716665,8,2007-01-09
8,0.0006507384108166055,6.720226228935644e-05,8,2007-01-09
9,0.0004897224346980996,9.958081354852766e-05,8,2007-01-09
10,0.000432086981163593,6.68563625367824e-05,8,2007-01-09
11,0.00038649422276648693,5.426016650744714e-05,8,2007-01-09
12,0.0003403204597513347,7.94284205767326e-05,8,2007-01-09
13,0.00030394062802467187,4.3918365554418416e-05,8,2007-01-09
14,0.00027249695146262337,4.0857532439986244e-05,8,2007-01-09
15,0.0002535740556292391,4.1643340591690506e-05,8,2007-01-09
16,0.0002425177311427736,4.0837442793417725e-05,8,2007-01-09
17,0.0002272212513313813,5.2747111476492135e-05,8,2007-01-09
18,0.000219538535020547,3.886665144818835e-05,8,2007-01-09
19,0.00019880288770461144,3.648472102213418e-05,8,2007-01-09
20,0.00018444446747404678,3.584281694202218e-05,8,2007-01-09
21,0.00017922178782707002,3.986479296145262e-05,8,2007-01-09
22,0.00018165761988105564,3.756645310204476e-05,8,2007-01-09
23,0.00016217594475165242,3.555075618351111e-05,8,2007-01-09
24,0.00017246002880710876,5.599603900918737e-05,8,2007-01-09
25,0.00016483175022585783,3.576236376829911e-05,8,2007-01-09
1,0.02043039670214057,0.0010628002579323947,9,2007-07-11
2,0.0030609406810253857,0.00029909794102422893,9,2007-07-11
3,0.0022134023066610097,0.00031093301950022576,9,2007-07-11
4,0.0018750685406848787,0.00026606198807712647,9,2007-07-11
5,0.0014624798344448208,0.00018136019352823495,9,2007-07-11
6,0.0012957497243769468,0.00018143146007787436,9,2007-07-11
7,0.0011467054160311818,0.00015307344147004188,9,2007-07-11
8,0.0008097307314164936,0.0001367798919091001,9,2007-07-11
9,0.000721991213504225,0.00010270524071529508,9,2007-07-11
10,0.0006206318526528775,0.00011389814462745563,9,2007-07-11
11,0.0004998412192799151,9.173198050120846e-05,9,2007-07-11
12,0.0004517463501542807,0.00012227837287355215,9,2007-07-11
13,0.00039489375776611266,7.443428839906118e-05,9,2007-07-11
14,0.0003339858935214579,7.063316443236544e-05,9,2007-07-11
15,0.0002870477281976491,6.198264673002995e-05,9,2007-07-11
16,0.0002837834454840049,5.589009233517572e-05,9,2007-07-11
17,0.00027541180315893143,5.923015414737165e-05,9,2007-07-11
18,0.0002450662612682208,7.584641643916256e-05,9,2007-07-11
19,0.00021129966306034475,5.236723300185986e-05,9,2007-07-11
20,0.00020856830815318972,5.8317666116636246e-05,9,2007-07-11
21,0.00020845730730798096,5.4651935352012514e-05,9,2007-07-11
22,0.00019722768338397144,5.190769879845902e-05,9,2007-07-11
23,0.00018866611062549055,5.043855053372681e-05,9,2007-07-11
24,0.0001731095020659268,5.311418572091497e-05,9,2007-07-11
25,0.00017837574298027904,6.10469447565265e-05,9,2007-07-11
1,0.011550922934138388,0.0007264647167176009,10,2008-01-09
2,0.0022541158832609653,0.00039860319811850785,10,2008-01-09
3,0.00159095066892742,0.00030932113877497615,10,2008-01-09
4,0.0012472033440307886,0.00019359619473107158,10,2008-01-09
5,0.0009073383774159959,0.00022182697139214725,10,2008-01-09
6,0.0006883124178447933,0.00016087186668301,10,2008-01-09
7,0.0005660862521768582,0.0001332571860984899,10,2008-01-09
8,0.0004579431993921322,0.0001148955911048688,10,2008-01-09
9,0.0003916818435148646,0.00010925100796157494,10,2008-01-09
10,0.0003004920268991824,0.00011334680602885783,10,2008-01-09
11,0.00026260723933336084,0.00011398925125831738,10,2008-01-09
12,0.00022311262728180736,0.00010309142235200852,10,2008-01-09
13,0.0002012051964239045,0.00010324816103093326,10,2008-01-09
14,0.0001839915593909272,0.00010217803937848658,10,2008-01-09
15,0.00017666982145143534,0.00010474842711118981,10,2008-01-09
16,0.00016367074244448708,0.00010139800870092585,10,2008-01-09
17,0.0001588691749795409,0.00010104682587552816,10,2008-01-09
18,0.00015206291303642233,9.99921299808193e-05,10,2008-01-09
19,0.00014560724823106148,0.00010142494138563052,10,2008-01-09
20,0.00014183970887205323,0.00010163897968595847,10,2008-01-09
21,0.00013725310714949888,9.9103352840757e-05,10,2008-01-09
22,0.0001413384377007821,0.00010432786220917478,10,2008-01-09
23,0.00013552550565994656,9.82690995442681e-05,10,2008-01-09
24,0.00013511235037758188,0.00010058893676614388,10,2008-01-09
25,0.00013021468785828565,9.894391259877012e-05,10,2008-01-09
1,0.012609407498404897,0.001253457582788542,11,2008-07-10
2,0.0024013671289390788,0.0004257286316715181,11,2008-07-10
