model,rmse,dir_acc,sharpe,n_test
lasso_fwd_return_1d_regime_agnostic,0.01208,0.5077,0.235,6012
lasso_fwd_return_1d_regime_conditioned,0.012184,0.516,0.1049,6112
lasso_fwd_return_5d_regime_agnostic,0.024499,0.5356,0.5412,6008
lasso_fwd_return_5d_regime_conditioned,0.024897,0.5403,0.3416,6108
lgb_fwd_return_1d_regime_agnostic,0.012116,0.5111,0.2051,6012
lgb_fwd_return_1d_regime_conditioned,0.012338,0.5116,0.0815,6112
lgb_fwd_return_5d_regime_agnostic,0.024916,0.5037,-0.435,6008
lgb_fwd_return_5d_regime_conditioned,0.025945,0.5246,0.2909,6108
lstm_fwd_return_1d_regime_agnostic,0.012144,0.5027,0.2515,5781
lstm_fwd_return_1d_regime_conditioned,0.01227,0.4966,-0.1352,5781
lstm_fwd_return_5d_regime_agnostic,0.03291,0.5029,-0.1665,5777
lstm_fwd_return_5d_regime_conditioned,0.025286,0.5013,-0.2441,5777
ridge_fwd_return_1d_regime_agnostic,0.012302,0.4923,-0.0373,6012
ridge_fwd_return_1d_regime_conditioned,0.012752,0.5105,0.3633,6112
ridge_fwd_return_5d_regime_agnostic,0.026404,0.5032,0.1135,6008
ridge_fwd_return_5d_regime_conditioned,0.026987,0.5214,0.4759,6108
tft_fwd_return_1d_regime_agnostic,0.017689,0.4875,-0.0092,5781
tft_fwd_return_1d_regime_conditioned,0.019406,0.5008,0.0131,5781
tft_fwd_return_5d_regime_agnostic,0.033578,0.4854,-0.3289,5777
tft_fwd_return_5d_regime_conditioned,0.02835,0.4916,-0.1238,5777
