feature,mean_abs_shap
sp500_macd,0.001532058911979889
sp500_macd_hist,0.001107451290357576
sp500_macd_signal,0.000996984912785059
sp500_log_return,0.0007889560325455765
DFF_diff,0.0007772470482113374
UNRATE,0.0007000449603855914
CPIAUCSL_diff,0.0005569798510795998
CPIAUCSL,0.0005549785784702646
XLU_log_return,0.0005063897650100791
XLV_log_return,0.0004576041433930875
VIX,0.000442001197892455
T10Y2Y_diff,0.000440513094272711
VIX_term_ratio,0.00042401244557602533
INDPRO_diff,0.00041180835398602837
sp500_rsi,0.00037654127512346447
XLB_log_return,0.00035571740319872893
XLY_log_return,0.0003426163260264247
sp500_realized_vol_21d,0.00034231364580336246
DFF,0.0003311697003433326
XLE_log_return,0.0003127818777967597
XLK_log_return,0.00030788706304946416
sp500_realized_vol_5d,0.000277985409863933
XLRE_log_return,0.00027561230706657714
XLI_log_return,0.0002473530733227424
XLF_log_return,0.0002451164772275812
sp500_bb_width,0.00024454650437709754
VIX_percentile,0.0002395076994484063
XLP_log_return,0.00021899408347187982
UNRATE_diff,0.00014560517074839067
T10Y2Y,0.00013043197490402318
INDPRO,0.00010919845483014221
sent_momentum,5.089076307654769e-05
sent_max_neg,4.9379357137012484e-05
sent_weighted,4.774557365210091e-05
sent_mean,2.0656534664799942e-05
sent_article_count,1.1345279573859823e-05
XLC_log_return,0.0
