date,regime,pred_return,signal,notional,order_id,order_status,vix,sp500_return,agreement,n_active_models
2026-01-26,Bear/Crisis,-0.00645,flat,0.0,,flat,16.149999618530273,0.00499359426016032,0.5,4
2026-01-27,Bear/Crisis,-0.003549,sell,6000.0,eb4458d9-284f-44c2-8547-20e60cd48481,OrderStatus.FILLED,16.350000381469727,0.004073587840441241,1.0,4
2026-01-28,Bear/Crisis,-0.004061,flat,0.0,,flat,16.350000381469727,-8.172639170147053e-05,0.5,4
2026-01-29,Bear/Crisis,-0.00289,flat,0.0,,flat,16.8799991607666,-0.0012934674424623016,0.5,4
2026-01-30,Bear/Crisis,-0.002758,flat,0.0,,flat,17.440000534057617,-0.0043111794144580756,0.5,4
2026-02-02,Bear/Crisis,-0.001345,flat,0.0,,flat,16.34000015258789,0.005376785277364613,0.5,4
2026-02-03,Bear/Crisis,0.000245,flat,0.0,,flat,18.0,-0.008439495590663714,0.75,4
2026-02-04,Bear/Crisis,-0.000736,flat,0.0,,flat,18.639999389648438,-0.005085300155013826,0.25,4
2026-02-05,Bear/Crisis,-0.002565,flat,0.0,,flat,21.770000457763672,-0.01232667785383289,0.5,4
2026-02-06,Bear/Crisis,-0.004144,sell,6000.0,c7a90e0c-a324-4203-96d5-66bbd27bcb0b,OrderStatus.FILLED,20.3700008392334,0.019504344282200718,1.0,4
2026-02-09,Bear/Crisis,-0.00506,flat,0.0,,flat,17.360000610351562,0.004680117860123293,0.5,4
2026-02-10,Bear/Crisis,-0.003623,sell,6000.0,a7f203db-2a8c-41cc-8376-2c60aa3ed14a,OrderStatus.FILLED,17.790000915527344,-0.0033091822845107053,1.0,4
2026-02-11,Bear/Crisis,-0.003917,flat,0.0,,flat,17.649999618530273,-4.89572699497733e-05,0.5,4
2026-02-12,Bear/Crisis,-0.004033,flat,0.0,,flat,20.81999969482422,-0.01578494138611745,0.5,4
2026-02-13,Bear/Crisis,-0.004376,sell,6000.0,26a82644-bcb7-450c-8680-65bceb8e0e5d,OrderStatus.FILLED,20.600000381469727,0.0004989646444475858,1.0,4
2026-02-17,Bear/Crisis,-0.00464,flat,0.0,,flat,20.290000915527344,0.0010307906306565179,0.5,4
2026-02-18,Bear/Crisis,-0.003867,flat,0.0,,flat,19.6200008392334,0.005550636821134019,0.5,4
2026-02-19,Bear/Crisis,-0.004284,flat,0.0,,flat,20.229999542236328,-0.0028261153915347848,0.5,4
2026-02-20,Bear/Crisis,-0.004866,flat,0.0,,flat,19.09000015258789,0.006915755702175204,0.5,4
2026-02-23,Bear/Crisis,-0.003772,flat,0.0,,flat,21.010000228881836,-0.01043995947145646,0.5,4
2026-02-24,Bear/Crisis,-0.004512,sell,6000.0,d6005747-cb8d-4ef4-bc53-57403294305b,OrderStatus.FILLED,19.549999237060547,0.007622488962383376,1.0,4
2026-02-25,Bear/Crisis,-0.007129,flat,0.0,,flat,17.93000030517578,0.0081034339701294,0.5,4
2026-02-26,Bear/Crisis,-0.003261,flat,0.0,,flat,18.6299991607666,-0.005380026995566101,0.5,4
2026-02-27,Bear/Crisis,-0.003727,flat,0.0,,flat,19.860000610351562,-0.004348795128037643,0.5,4
2026-03-02,Bear/Crisis,-0.00381,flat,0.0,,flat,21.440000534057617,0.0003982754131349892,0.5,4
2026-03-03,Bear/Crisis,-0.003157,flat,0.0,,flat,23.56999969482422,-0.009488908731312503,0.5,4
2026-03-04,Bear/Crisis,-0.00407,flat,0.0,,flat,21.149999618530273,0.00772612574014956,0.5,4
2026-03-05,Bear/Crisis,-0.004649,flat,0.0,,flat,23.75,-0.005662707772703004,0.5,4
2026-03-06,Bear/Crisis,0.00064,buy,6000.0,b75351fe-f18f-48a3-a198-66a30bf715f4,OrderStatus.FILLED,29.489999771118164,-0.013365720432496335,0.75,4
2026-03-09,Bear/Crisis,-0.003868,flat,0.0,,flat,25.5,0.008269871665388671,0.5,4
2026-03-10,Bear/Crisis,-0.002301,flat,0.0,,flat,24.93000030517578,-0.002137402505887721,0.5,4
2026-03-11,Bear/Crisis,-0.002135,flat,0.0,,flat,24.229999542236328,-0.0008379521856348736,0.5,4
2026-03-12,Bear/Crisis,-0.001705,flat,0.0,,flat,27.290000915527344,-0.015344808189494536,0.5,4
2026-03-13,Bear/Crisis,-0.002411,flat,0.0,,flat,27.190000534057617,-0.006077546398501344,0.5,4
2026-03-16,Bear/Crisis,-0.003476,flat,0.0,,flat,23.510000228881836,0.010079909746818997,0.5,4
2026-03-17,Bear/Crisis,-0.001813,flat,0.0,,flat,22.3700008392334,0.002491149384952951,0.5,4
2026-03-18,Bear/Crisis,-0.003726,flat,0.0,,flat,25.09000015258789,-0.013700999383730839,0.5,4
2026-03-19,Bear/Crisis,-0.002845,flat,0.0,,flat,24.059999465942383,-0.002752582623899739,0.5,4
2026-03-20,Bear/Crisis,9.8e-05,flat,0.0,,flat,26.780000686645508,-0.015253934307770224,0.5,4
2026-03-23,Bear/Crisis,-0.002097,sell,6000.0,67c02818-e518-4db8-b6b1-67a400207d8e,OrderStatus.FILLED,26.149999618530273,0.0113881090950741,1.0,4
2026-03-24,Bear/Crisis,0.000201,flat,0.0,,flat,26.950000762939453,-0.0037495954593205535,0.75,4
2026-03-25,Bear/Crisis,-0.002103,flat,0.0,,flat,25.329999923706055,0.005404493759949214,0.5,4
2026-03-26,Bear/Crisis,-0.000956,flat,0.0,,flat,27.440000534057617,-0.017559440961209507,0.25,4
2026-03-27,Bear/Crisis,0.002322,buy,6000.0,adf4dcdd-ac86-40f2-b576-39642d07ce00,OrderStatus.FILLED,31.049999237060547,-0.01686323194605131,0.75,4
2026-03-30,Bear/Crisis,0.001633,buy,6000.0,601436d5-f6b6-46a0-9d37-086478e3c4dc,OrderStatus.FILLED,30.610000610351562,-0.003953553833355896,0.75,4
2026-03-31,Bear/Crisis,-0.001418,sell,6000.0,be104844-4c0d-4251-9c69-5dd0ff3439f3,OrderStatus.FILLED,25.25,0.028714893309798716,0.75,4
2026-04-01,Bear/Crisis,-0.002345,flat,0.0,,flat,24.540000915527344,0.0071429450037592815,0.25,4
2026-04-02,Bear/Crisis,-0.006181,flat,0.0,,flat,23.8700008392334,0.0011202481362370179,0.5,4
2026-04-06,Bear/Crisis,-0.003753,flat,0.0,,flat,24.170000076293945,0.004417013131605809,0.5,4
2026-04-07,Bear/Crisis,-0.00499,flat,0.0,,flat,25.780000686645508,0.0007589600331270599,0.5,4
2026-04-08,Bear/Crisis,-0.003,sell,6000.0,3c433ecf-f192-4802-ae85-7c6a44bb292b,OrderStatus.FILLED,21.040000915527344,0.024772038357183543,0.75,4
